iter	Passed	Remaining
0	121	121438
1	220	109841
2	307	102326
3	442	110262
4	566	112697
5	660	109428
6	770	109308
7	890	110375
8	1014	111696
9	1132	112116
10	1235	111104
11	1355	111629
12	1631	123905
13	1749	123225
14	1863	122342
15	1973	121342
16	2093	121057
17	2188	119412
18	2299	118738
19	2401	117657
20	2523	117641
21	2648	117735
22	2794	118684
23	2937	119454
24	3059	119319
25	3196	119755
26	3313	119401
27	3434	119233
28	3555	119051
29	3668	118623
30	3770	117861
31	3874	117192
32	3988	116878
33	4098	116457
34	4216	116244
35	4319	115660
36	4430	115312
37	4540	114950
38	4653	114663
39	4776	114635
40	4903	114700
41	5006	114198
42	5099	113499
43	5207	113151
44	5303	112561
45	5424	112495
46	5551	112564
47	5680	112664
48	5802	112618
49	5906	112216
50	6066	112892
51	6179	112654
52	6293	112445
53	6408	112272
54	6502	111716
55	6627	111721
56	6759	111824
57	6877	111694
58	6975	111250
59	7097	111187
60	7217	111097
61	7311	110615
62	7415	110293
63	7522	110011
64	7642	109941
65	7745	109614
66	7864	109522
67	7970	109244
68	8074	108944
69	8177	108640
70	8291	108490
71	8412	108426
72	8508	108044
73	8616	107819
74	8756	107993
75	8868	107820
76	8973	107564
77	9088	107434
78	9221	107505
79	9321	107193
80	9447	107189
81	9562	107048
82	9676	106910
83	9791	106771
84	9888	106447
85	9979	106064
86	10081	105792
87	10202	105731
88	10323	105671
89	10439	105557
90	10548	105373
91	10657	105179
92	10785	105186
93	10890	104966
94	11002	104814
95	11110	104627
96	11214	104400
97	11337	104355
98	11430	104028
99	11540	103867
100	11660	103787
101	11772	103645
102	11899	103627
103	12001	103400
104	12104	103176
105	12211	102995
106	12314	102771
107	12445	102788
108	12535	102472
109	12639	102264
110	12750	102115
111	12848	101868
112	12966	101778
113	13079	101652
114	13183	101452
115	13290	101280
116	13388	101045
117	13515	101025
118	13624	100869
119	13734	100716
120	13841	100548
121	13968	100529
122	14075	100362
123	14193	100266
124	14304	100132
125	14413	99976
126	14539	99942
127	14632	99687
128	14745	99558
129	14861	99457
130	14968	99297
131	15094	99257
132	15203	99108
133	15309	98937
134	15419	98802
135	15519	98591
136	15640	98522
137	15755	98413
138	15869	98301
139	15988	98212
140	16112	98162
141	16217	97993
142	16331	97876
143	16434	97696
144	16562	97664
145	16675	97539
146	16794	97451
147	16893	97253
148	16992	97049
149	17101	96905
150	17227	96860
151	17336	96722
152	17442	96558
153	17548	96404
154	17671	96339
155	17789	96243
156	17888	96052
157	17989	95867
158	18103	95752
159	18239	95756
160	18363	95694
161	18485	95623
162	18592	95473
163	18701	95330
164	18846	95376
165	18957	95244
166	19083	95187
167	19194	95056
168	19331	95056
169	19447	94949
170	19560	94826
171	19669	94686
172	19804	94673
173	19912	94528
174	20030	94428
175	20138	94284
176	20259	94200
177	20386	94145
178	20491	93984
179	20613	93907
180	20734	93819
181	20868	93795
182	20984	93682
183	21104	93594
184	21215	93461
185	21337	93378
186	21441	93219
187	21559	93118
188	21681	93034
189	21780	92853
190	21896	92745
191	21991	92547
192	22111	92457
193	22211	92280
194	22324	92161
195	22446	92076
